#configname,clex_mut
SCEL1_1_1_1_0_0_0/0,0.0
SCEL1_1_1_1_0_0_0/1,0.0
SCEL2_2_1_1_0_0_1/0,-0.490956532634
SCEL2_2_1_1_0_1_1/0,-0.365602314212
SCEL3_3_1_1_0_0_2/0,-0.324491915345
SCEL3_3_1_1_0_0_2/1,-0.316218052347
SCEL3_3_1_1_0_2_1/0,-0.369525375812
SCEL3_3_1_1_0_2_1/1,-0.395542980046
SCEL3_3_1_1_0_2_2/0,-0.246519134093
SCEL3_3_1_1_0_2_2/1,-0.236051357893
SCEL4_2_2_1_0_1_0/0,-0.274178855681
SCEL4_2_2_1_0_1_0/1,-0.308947034534
SCEL4_2_2_1_1_1_0/0,-0.364311967695
SCEL4_2_2_1_1_1_0/1,-0.426956674723
SCEL4_4_1_1_0_0_0/0,-0.174929626206
SCEL4_4_1_1_0_0_0/1,-0.167654853713
SCEL4_4_1_1_0_0_0/2,-0.18562031107
SCEL4_4_1_1_0_0_2/0,-0.272403567613
SCEL4_4_1_1_0_0_2/1,-0.387993011784
SCEL4_4_1_1_0_0_2/2,-0.300336872763
SCEL4_4_1_1_0_0_3/0,-0.255815439127
SCEL4_4_1_1_0_0_3/1,-0.250418091458
SCEL4_4_1_1_0_0_3/2,-0.252276740476
SCEL4_4_1_1_0_1_0/0,-0.307767880487
SCEL4_4_1_1_0_1_0/1,-0.382687526744
SCEL4_4_1_1_0_1_0/2,-0.327159601616
SCEL4_4_1_1_0_2_1/0,-0.332105851185
SCEL4_4_1_1_0_2_1/1,-0.451759261895
SCEL4_4_1_1_0_2_1/2,-0.393320875286
SCEL5_1_1_5_0_0_0/0,-0.142351358086
SCEL5_1_1_5_0_0_0/1,-0.284691902984
SCEL5_1_1_5_0_0_0/2,-0.127167928277
SCEL5_1_1_5_0_0_0/3,-0.29578881625
SCEL5_1_1_5_0_0_0/4,-0.14254628234
SCEL5_1_1_5_0_0_0/5,-0.137210034186
SCEL5_5_1_1_0_0_3/0,-0.23063559637
SCEL5_5_1_1_0_0_3/1,-0.36323629323
SCEL5_5_1_1_0_0_3/2,-0.326284789693
SCEL5_5_1_1_0_0_3/3,-0.385063013098
SCEL5_5_1_1_0_0_3/4,-0.321420169842
SCEL5_5_1_1_0_0_3/5,-0.25119218343
SCEL5_5_1_1_0_0_4/0,-0.195960259971
SCEL5_5_1_1_0_0_4/1,-0.389562935717
SCEL5_5_1_1_0_0_4/2,-0.197163697987
SCEL5_5_1_1_0_0_4/3,-0.382755228052
SCEL5_5_1_1_0_0_4/4,-0.200813798561
SCEL5_5_1_1_0_0_4/5,-0.199785924761
SCEL5_5_1_1_0_1_3/0,-0.252185485625
SCEL5_5_1_1_0_1_3/1,-0.389256800003
SCEL5_5_1_1_0_1_3/2,-0.424853088049
SCEL5_5_1_1_0_1_3/3,-0.295272690658
SCEL5_5_1_1_0_4_3/0,-0.231687108272
SCEL5_5_1_1_0_4_3/1,-0.396675142302
SCEL5_5_1_1_0_4_3/2,-0.305501908075
SCEL5_5_1_1_0_4_3/3,-0.411766915527
SCEL5_5_1_1_0_4_3/4,-0.302965223547
SCEL5_5_1_1_0_4_3/5,-0.255436777678
SCEL6_2_3_1_0_1_0/0,-0.195273645824
SCEL6_2_3_1_0_1_0/1,-0.309416804428
SCEL6_2_3_1_0_1_0/2,-0.34541353589
SCEL6_2_3_1_0_1_0/3,-0.387733329286
SCEL6_2_3_1_0_1_0/4,-0.308668810075
SCEL6_2_3_1_0_1_0/5,-0.320062181502
SCEL6_2_3_1_0_1_0/6,-0.360902380907
SCEL6_2_3_1_0_1_0/7,-0.201740212031
SCEL6_3_1_2_0_0_0/0,-0.183140016611
SCEL6_3_1_2_0_0_0/1,-0.338817635564
SCEL6_3_1_2_0_0_0/2,-0.301295144114
SCEL6_3_1_2_0_0_0/3,-0.410146551674
SCEL6_3_1_2_0_0_0/4,-0.315877023346
SCEL6_3_1_2_0_0_0/5,-0.354166312658
SCEL6_3_1_2_0_0_0/6,-0.318662360992
SCEL6_3_1_2_0_0_0/7,-0.199901795654
SCEL6_3_1_2_0_0_2/0,-0.192547336198
SCEL6_3_1_2_0_0_2/1,-0.32360339031
SCEL6_3_1_2_0_0_2/2,-0.307818149057
SCEL6_3_1_2_0_0_2/3,-0.375261121948
SCEL6_3_1_2_0_0_2/4,-0.372989575809
SCEL6_3_1_2_0_0_2/5,-0.342142464661
SCEL6_3_1_2_0_0_2/6,-0.336014426499
SCEL6_3_1_2_0_0_2/7,-0.21672076608
SCEL6_3_1_2_0_2_2/0,-0.176339402061
SCEL6_3_1_2_0_2_2/1,-0.274361340954
SCEL6_3_1_2_0_2_2/2,-0.31546889776
SCEL6_3_1_2_0_2_2/3,-0.288336260296
SCEL6_3_1_2_0_2_2/4,-0.392030052057
SCEL6_3_1_2_0_2_2/5,-0.275320328927
SCEL6_3_1_2_0_2_2/6,-0.326144246681
SCEL6_3_1_2_0_2_2/7,-0.211720183586
SCEL6_3_2_1_0_1_2/0,-0.205882637283
SCEL6_3_2_1_0_1_2/1,-0.35190571888
SCEL6_3_2_1_0_1_2/2,-0.331127007462
SCEL6_3_2_1_0_1_2/3,-0.412685649532
SCEL6_3_2_1_0_1_2/4,-0.415355554381
SCEL6_3_2_1_0_1_2/5,-0.405696025641
SCEL6_3_2_1_0_1_2/6,-0.351243562272
SCEL6_3_2_1_0_1_2/7,-0.253285792862
SCEL6_6_1_1_0_0_5/0,-0.162952908094
SCEL6_6_1_1_0_0_5/1,-0.158355933221
SCEL6_6_1_1_0_0_5/2,-0.323344521145
SCEL6_6_1_1_0_0_5/3,-0.170026975027
SCEL6_6_1_1_0_0_5/4,-0.322882410362
SCEL6_6_1_1_0_0_5/5,-0.165174175943
SCEL6_6_1_1_0_0_5/6,-0.32066778833
SCEL6_6_1_1_0_0_5/7,-0.166048808431
SCEL6_6_1_1_0_1_0/0,-0.193761823282
SCEL6_6_1_1_0_1_0/1,-0.238294286092
SCEL6_6_1_1_0_1_0/2,-0.346584570439
SCEL6_6_1_1_0_1_0/3,-0.250411101744
SCEL6_6_1_1_0_1_0/4,-0.382997866159
SCEL6_6_1_1_0_1_0/5,-0.235634978217
SCEL6_6_1_1_0_1_0/6,-0.369445638391
SCEL6_6_1_1_0_1_0/7,-0.206932655464
SCEL6_6_1_1_0_1_4/0,-0.222777438093
SCEL6_6_1_1_0_1_4/1,-0.346841976468
SCEL6_6_1_1_0_1_4/2,-0.385131208185
SCEL6_6_1_1_0_1_4/3,-0.391257359274
SCEL6_6_1_1_0_1_4/4,-0.435851352265
SCEL6_6_1_1_0_1_4/5,-0.366316640799
SCEL6_6_1_1_0_1_4/6,-0.424222603766
SCEL6_6_1_1_0_1_4/7,-0.26311923868
SCEL6_6_1_1_0_3_2/0,-0.231050137357
SCEL6_6_1_1_0_3_2/1,-0.368248850483
SCEL6_6_1_1_0_3_2/2,-0.39146659765
SCEL6_6_1_1_0_3_2/3,-0.457738927728
SCEL6_6_1_1_0_3_2/4,-0.393330063567
SCEL6_6_1_1_0_3_2/5,-0.396726296904
SCEL6_6_1_1_0_3_2/6,-0.42928688222
SCEL6_6_1_1_0_3_2/7,-0.267537295877
SCEL6_6_1_1_0_5_5/0,-0.120707905522
SCEL6_6_1_1_0_5_5/1,-0.114527361343
SCEL6_6_1_1_0_5_5/2,-0.231642530569
SCEL6_6_1_1_0_5_5/3,-0.106171792886
SCEL6_6_1_1_0_5_5/4,-0.233177220312
SCEL6_6_1_1_0_5_5/5,-0.116916879669
SCEL6_6_1_1_0_5_5/6,-0.232882512609
SCEL6_6_1_1_0_5_5/7,-0.119854946762
SCEL7_7_1_1_0_0_0/0,-0.108012594819
SCEL7_7_1_1_0_0_0/1,-0.204404089846
SCEL7_7_1_1_0_0_0/10,-0.316546727764
SCEL7_7_1_1_0_0_0/11,-0.201373908249
SCEL7_7_1_1_0_0_0/12,-0.0938846612543
SCEL7_7_1_1_0_0_0/13,-0.0878709176908
SCEL7_7_1_1_0_0_0/14,-0.204557600289
SCEL7_7_1_1_0_0_0/15,-0.10214197218
SCEL7_7_1_1_0_0_0/2,-0.0974316201714
SCEL7_7_1_1_0_0_0/3,-0.200735478487
SCEL7_7_1_1_0_0_0/4,-0.203005115106
SCEL7_7_1_1_0_0_0/5,-0.198322200651
SCEL7_7_1_1_0_0_0/6,-0.20356983694
SCEL7_7_1_1_0_0_0/7,-0.31514139054
SCEL7_7_1_1_0_0_0/8,-0.0977171314975
SCEL7_7_1_1_0_0_0/9,-0.195431724096
SCEL7_7_1_1_0_0_6/0,-0.139328681319
SCEL7_7_1_1_0_0_6/1,-0.279986898485
SCEL7_7_1_1_0_0_6/10,-0.137512542928
SCEL7_7_1_1_0_0_6/11,-0.278637409203
SCEL7_7_1_1_0_0_6/12,-0.285542335433
SCEL7_7_1_1_0_0_6/13,-0.271934949696
SCEL7_7_1_1_0_0_6/14,-0.12933602697
SCEL7_7_1_1_0_0_6/15,-0.14056456893
SCEL7_7_1_1_0_0_6/2,-0.288950142622
SCEL7_7_1_1_0_0_6/3,-0.427468778299
SCEL7_7_1_1_0_0_6/4,-0.13059037575
SCEL7_7_1_1_0_0_6/5,-0.273682481311
SCEL7_7_1_1_0_0_6/6,-0.401443680368
SCEL7_7_1_1_0_0_6/7,-0.13436998263
SCEL7_7_1_1_0_0_6/8,-0.290875363132
SCEL7_7_1_1_0_0_6/9,-0.272366408358
SCEL7_7_1_1_0_2_4/0,-0.179647192437
SCEL7_7_1_1_0_2_4/1,-0.314710088991
SCEL7_7_1_1_0_2_4/10,-0.348841028964
SCEL7_7_1_1_0_2_4/11,-0.355009002615
SCEL7_7_1_1_0_2_4/12,-0.423498453887
SCEL7_7_1_1_0_2_4/13,-0.386337090151
SCEL7_7_1_1_0_2_4/14,-0.316927128302
SCEL7_7_1_1_0_2_4/15,-0.224959933492
SCEL7_7_1_1_0_2_4/2,-0.335443158135
SCEL7_7_1_1_0_2_4/3,-0.413242203135
SCEL7_7_1_1_0_2_4/4,-0.303281912789
SCEL7_7_1_1_0_2_4/5,-0.399425564892
SCEL7_7_1_1_0_2_4/6,-0.435160553733
SCEL7_7_1_1_0_2_4/7,-0.345558376948
SCEL7_7_1_1_0_2_4/8,-0.411497654763
SCEL7_7_1_1_0_2_4/9,-0.395714696779
SCEL7_7_1_1_0_3_5/0,-0.183107562301
SCEL7_7_1_1_0_3_5/1,-0.326435740139
SCEL7_7_1_1_0_3_5/2,-0.383104559801
SCEL7_7_1_1_0_3_5/3,-0.390502632513
SCEL7_7_1_1_0_3_5/4,-0.404490842611
SCEL7_7_1_1_0_3_5/5,-0.405241217698
SCEL7_7_1_1_0_3_5/6,-0.348786062509
SCEL7_7_1_1_0_3_5/7,-0.217369823624
SCEL7_7_1_1_0_3_6/0,-0.152547499369
SCEL7_7_1_1_0_3_6/1,-0.235731630757
SCEL7_7_1_1_0_3_6/10,-0.400028148375
SCEL7_7_1_1_0_3_6/11,-0.236666751264
SCEL7_7_1_1_0_3_6/12,-0.372215809907
SCEL7_7_1_1_0_3_6/13,-0.280626368433
SCEL7_7_1_1_0_3_6/14,-0.344157472213
SCEL7_7_1_1_0_3_6/15,-0.174702248288
SCEL7_7_1_1_0_3_6/2,-0.269334514895
SCEL7_7_1_1_0_3_6/3,-0.24974122016
SCEL7_7_1_1_0_3_6/4,-0.310870399625
SCEL7_7_1_1_0_3_6/5,-0.336092954359
SCEL7_7_1_1_0_3_6/6,-0.249346728253
SCEL7_7_1_1_0_3_6/7,-0.374419988771
SCEL7_7_1_1_0_3_6/8,-0.359186103258
SCEL7_7_1_1_0_3_6/9,-0.335097522969
